Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Major_Category_Arts,Major_Category_Business,Major_Category_Humanities,Major_Category_Medical,Major_Category_STEM,Primary_Use_Case_Copywriting/Drafting,Primary_Use_Case_Debugging/Troubleshooting,Primary_Use_Case_Direct_Answer_Generation,Primary_Use_Case_Ideation,Primary_Use_Case_Summarizing_Reading,Institutional_Policy_Actively_Encouraged,Institutional_Policy_Allowed_With_Citation,Institutional_Policy_Strict_Ban,Burnout_Risk_Level
0.4424529730892324,0.6387119987141436,2.4404271829025985,0.11907928549826752,1.0116918037188964,1,-0.3307638562865297,0.270495393749188,0.8068480835660394,0.6793020019506657,-0.6221011880254902,False,False,False,False,True,False,True,False,False,False,False,True,False,1
,-0.32848657731664743,-0.8542071234059535,0.11907928549826752,0.16822871337007295,0,-0.30350439006072855,0.270495393749188,0.8068480835660394,-0.3990445734940475,1.3667256441058973,False,True,False,False,False,False,False,False,True,False,False,True,False,0
0.4424529730892324,0.07731630349627157,-0.07639385722430841,0.11907928549826752,-1.518697467327574,0,1.9084065836899853,0.270495393749188,2.2052387076153295,0.5015969483193279,0.8000047029880779,False,False,False,False,True,False,True,False,False,False,True,False,False,0
-0.4453223179211989,-0.4882846029217348,-0.7725505705505851,-1.1330688269966596,0.16822871337007295,0,0.2767328196027508,0.270495393749188,0.3407178755496095,-0.9806247490147916,-1.1706385695352515,True,False,False,False,False,False,False,False,False,True,False,True,False,1
-0.4453223179211989,-0.11612341170988684,0.04955099548481907,-1.1330688269966596,-0.6752343769787504,0,0.5376448534782752,0.8190563220582286,1.2729782915824694,-0.4131802027601769,-1.3297447161057625,False,True,False,False,False,False,False,False,True,False,False,False,True,0
,-0.5871070661248803,-0.6812059521022068,0.11907928549826752,0.16822871337007295,0,0.10149339386545858,-0.27806553455985267,-1.0576727484996804,-0.8311909539157117,-0.14705569326496373,False,True,False,False,False,False,False,False,True,False,False,True,False,1
,0.16352313309901584,-0.2244828598603156,0.11907928549826752,0.16822871337007295,1,-1.0103034072011419,-0.27806553455985267,0.3407178755496095,0.18455497763614423,-1.3933871747339668,False,True,False,False,False,True,False,False,False,False,False,False,True,1
0.4424529730892324,1.082361780328267,-1.0507364540070097,0.11907928549826752,1.0116918037188964,0,-0.11852944067136438,-1.375187391177934,-0.5915425404832505,0.6187207336672552,-0.19402988891911493,False,False,False,True,False,False,False,False,False,True,False,True,False,1
0.4424529730892324,-2.3553983757811747,-0.14559432574580708,-1.1330688269966596,-1.518697467327574,0,0.5843753670082199,-0.27806553455985267,-0.1254123324668205,-1.9741575488627299,-1.0153206645497528,False,False,True,False,False,False,True,False,False,False,True,False,False,2
,-1.4933300797537303,-0.984304004226371,0.11907928549826752,-1.518697467327574,0,-0.5877816807012254,-0.27806553455985267,-1.0576727484996804,-1.630863695256735,-0.06977556493071582,False,True,False,False,False,False,False,False,True,False,True,False,False,1
-0.4453223179211989,0.3275263699042366,-0.8638951889989633,1.3712273979931946,0.16822871337007295,1,-0.040645251454789866,-0.27806553455985267,-1.5238029565161104,0.3036981385935184,0.9757791125326419,False,False,True,False,False,True,False,False,False,False,True,False,False,0
-0.4453223179211989,0.8195360803198999,-0.8666632077398232,1.3712273979931946,1.0116918037188964,1,0.2845212385244084,-0.27806553455985267,-1.0576727484996804,1.3113665677075863,1.3917280385669775,True,False,False,False,False,False,False,False,True,False,False,False,True,1
1.3302282640996637,-0.5492601653236758,-0.8735832545919732,0.11907928549826752,1.0116918037188964,0,0.7518263738238552,-0.8266264628688933,-0.5915425404832505,-0.5363621149364456,0.41814995121885107,False,True,False,False,False,False,True,False,False,False,True,False,False,0
,-1.7982078917634363,0.5754745562482091,-1.1330688269966596,0.16822871337007295,0,0.2825741337939941,0.8190563220582286,-0.5915425404832505,-1.445081139187609,0.20600842245816994,False,True,False,False,False,False,False,False,True,False,True,False,False,1
0.4424529730892324,0.7123031947164867,0.44399366605736146,-1.1330688269966596,0.16822871337007295,0,-1.6216942925512512,-0.8266264628688933,2.2052387076153295,0.4410156800359165,0.09008822995679755,False,False,False,False,True,False,False,False,True,False,False,False,True,2
-1.3330976089316302,0.23711432910135893,1.9747080297529123,1.3712273979931946,0.16822871337007295,1,-0.3833356840077174,1.3676172503672694,-0.1254123324668205,0.04319868497485162,-0.12281094712088637,False,False,False,False,True,False,False,False,False,True,True,False,False,1
